,homeChargePointTableViewCellLabelOfflineConnectors,,,%@ Offline,%@ Hors ligne,%@ Offline,%@ Disconnesso,%@ Çevrimdışı,%@ Fuera de línea
,homeChargePointTableViewCellLabelOnlineConnectors,,,%@ Online,%@ En ligne,%@ Online,%@ In linea,%@ Çevrimiçi,%@ En línea
,homeTabChargePoints,,,Charge Points,Points de charge,Gebührenpunkte,Punti di carica,Şarj noktaları,Puntos de carga
,landingButtonSignIn,,,Sign In,S'identifier,Anmelden,Registrazione,Kayıt olmak,Iniciar sesión
,historyDetailsLabelTotalUsageKwh,,,Total Usage kWh,Utilisation totale kWh,Gesamtnutzung kWh,Utilizzo totale KWh,Toplam Kullanım KWH,Uso total KWH
,,,,January,Janvier,Januar,Gennaio,Ocak,enero
,,,,February,Février,Februar,febbraio,Şubat,Febrero
,,,,March,Mars,Marsch,Marzo,Mart,Marzo
,,,,April,Avril,April,aprile,Nisan,Abril
,,,,May,Mai,Kann,Maggio,Mayıs,Puede
,,,,June,Juin,Juni,Giugno,Haziran,Junio
,,,,July,Juillet,Juli,Luglio,Temmuz,Julio
,,,,August,Août,August,agosto,Ağustos,Agosto
,,,,September,Septembre,September,settembre,Eylül,Septiembre
,,,,October,Octobre,Oktober,ottobre,Ekim,Octubre
,,,,November,Novembre,November,novembre,Kasım,Noviembre
,,,,December,Décembre,Dezember,Dicembre,Aralık,Diciembre
log_out,,d,,Log out,Se déconnecter,Ausloggen,Disconnettersi,Çıkış Yap,Cerrar sesión
please_tap_here_to_add_a_new_payment_method,,,,Please tap here to add a new payment method,Veuillez appuyer ici pour ajouter un nouveau mode de paiement,"Bitte tippen Sie hier, um eine neue Zahlungsmethode hinzuzufügen",Tocca qui per aggiungere un nuovo metodo di pagamento,Yeni bir ödeme yöntemi eklemek için lütfen buraya dokunun,Toque aquí para agregar un nuevo método de pago
your_message_sent_successfully,,,,Your message sent successfully.,Votre message a envoyé avec succès.,Ihre Nachricht erfolgreich gesendet.,Il tuo messaggio è stato inviato correttamente.,Mesajınız başarıyla gönderildi.,Su mensaje enviado correctamente.
i_want_to_be_informed_about_the_campaings,,,,I want to be informed about the campaigns.,Je veux être informé des campagnes.,Ich möchte über die Kampagnen informiert werden.,Voglio essere informato delle campagne.,Kampanyalar hakkında bilgilendirilmek istiyorum.,Quiero estar informado sobre las campañas.
email_star,"contactUsLabelEmailTitle, myDetailsLabelTitleEmail",,,Email *,E-mail *,Email *,Email *,E-posta *,Correo electrónico *
your_account_is_suspended_please_contact_with_call_center_for_more_information,,,,Your account is suspended. Please contact with Call Center for more information.,Votre compte est suspendu. Veuillez contacter avec Call Center pour plus d'informations.,"Ihr Account wurde gesperrt. Bitte wenden Sie sich an Call Center, um weitere Informationen zu erhalten.",Il tuo account è sospeso. Si prega di contattare con il call center per ulteriori informazioni.,Hesabınız askıya alındı. Daha fazla bilgi için lütfen Call Center ile iletişime geçin.,Tu cuenta está suspendida. Póngase en contacto con Call Center para obtener más información.
